Vendedor	Produto	Estado	Mês	Cliente	Valor	Quantidade
ROBERTO	Rodas aro 14"	ES	Setembro	Pessoa Jurídica	980	79
MYSLAINE	Rodas aro 15"	GO	Abril	Pessoa Física	1020	79
KATIA	Rodas aro 16"	RO	Dezembro	Pessoa Jurídica	1340	77
VANESSA	Rodas aro 17"	ES	Janeiro	Pessoa Física	1870	76
RENATA	Rodas aro 18"	PB	Novembro	Pessoa Física	1910	72
CAIO	Rodas aro 19"	AL	Agosto	Pessoa Física	2240	71
PRISCILA	Rodas aro 20"	MA	Novembro	Pessoa Jurídica	2479	71
MIRIAN	Rodas aro 21"	AM	Abril	Pessoa Jurídica	3200	71
MURILO	Rodas aro 22"	PE	Abril	Pessoa Jurídica	3921	70
ROBERTO	Rodas aro 13"	AP	Janeiro	Pessoa Física	780	67
MYSLAINE	Rodas aro 14"	PR	Setembro	Pessoa Jurídica	980	67
KATIA	Rodas aro 15"	ES	Março	Pessoa Física	1020	64
VANESSA	Rodas aro 16"	SP	Abril	Pessoa Física	1340	62
RENATA	Rodas aro 17"	RO	Setembro	Pessoa Física	1870	62
CAIO	Rodas aro 18"	SC	Junho	Pessoa Jurídica	1910	57
PRISCILA	Rodas aro 19"	DF	Abril	Pessoa Jurídica	2240	55
MIRIAN	Rodas aro 20"	PB	Março	Pessoa Jurídica	2479	54
MURILO	Rodas aro 21"	DF	Setembro	Pessoa Física	3200	54
ROBERTO	Rodas aro 22"	PB	Fevereiro	Pessoa Jurídica	3921	53
MYSLAINE	Rodas aro 13"	CE	Maio	Pessoa Física	780	53
KATIA	Rodas aro 14"	PE	Dezembro	Pessoa Física	980	53
VANESSA	Rodas aro 15"	MG	Junho	Pessoa Física	1020	52
RENATA	Rodas aro 16"	DF	Janeiro	Pessoa Jurídica	1340	51
CAIO	Rodas aro 17"	PB	Abril	Pessoa Jurídica	1870	50
PRISCILA	Rodas aro 18"	PE	Novembro	Pessoa Jurídica	1910	49
MIRIAN	Rodas aro 19"	RR	Janeiro	Pessoa Física	2240	49
MURILO	Rodas aro 20"	ES	Janeiro	Pessoa Jurídica	2479	49
ROBERTO	Rodas aro 21"	AM	Março	Pessoa Física	3200	46
MYSLAINE	Rodas aro 22"	MG	Abril	Pessoa Física	3921	44
KATIA	Rodas aro 13"	SP	Abril	Pessoa Física	780	43
VANESSA	Rodas aro 14"	AP	Junho	Pessoa Jurídica	980	43
RENATA	Rodas aro 15"	MA	Outubro	Pessoa Jurídica	1020	42
CAIO	Rodas aro 16"	PE	Novembro	Pessoa Jurídica	1340	40
PRISCILA	Rodas aro 17"	RO	Dezembro	Pessoa Física	1870	40
MIRIAN	Rodas aro 18"	SE	Dezembro	Pessoa Jurídica	1910	39
MURILO	Rodas aro 19"	PE	Agosto	Pessoa Física	2240	38
ROBERTO	Rodas aro 20"	DF	Junho	Pessoa Física	2479	38
MYSLAINE	Rodas aro 21"	PB	Agosto	Pessoa Física	3200	38
KATIA	Rodas aro 22"	AL	Junho	Pessoa Jurídica	3921	33
VANESSA	Rodas aro 13"	SP	Julho	Pessoa Jurídica	780	33
RENATA	Rodas aro 14"	AP	Julho	Pessoa Jurídica	980	32
CAIO	Rodas aro 15"	RO	Novembro	Pessoa Física	1020	27
PRISCILA	Rodas aro 16"	AM	Janeiro	Pessoa Jurídica	1340	27
MIRIAN	Rodas aro 17"	AP	Novembro	Pessoa Física	1870	27
MURILO	Rodas aro 18"	AM	Novembro	Pessoa Física	1910	25
ROBERTO	Rodas aro 19"	MG	Outubro	Pessoa Física	2240	23
MYSLAINE	Rodas aro 20"	GO	Julho	Pessoa Jurídica	2479	23
KATIA	Rodas aro 21"	RO	Setembro	Pessoa Jurídica	3200	22
VANESSA	Rodas aro 22"	DF	Dezembro	Pessoa Jurídica	3921	22
RENATA	Rodas aro 13"	AP	Novembro	Pessoa Física	780	17
CAIO	Rodas aro 14"	RO	Setembro	Pessoa Jurídica	980	17
PRISCILA	Rodas aro 15"	ES	Abril	Pessoa Física	1020	15
MIRIAN	Rodas aro 16"	PA	Julho	Pessoa Física	1340	15
MURILO	Rodas aro 17"	AM	Junho	Pessoa Física	1870	13
ROBERTO	Rodas aro 18"	BA	Março	Pessoa Jurídica	1910	12
MYSLAINE	Rodas aro 19"	MG	Junho	Pessoa Jurídica	2240	10
KATIA	Rodas aro 20"	DF	Maio	Pessoa Jurídica	2479	10
VANESSA	Rodas aro 21"	MT	Abril	Pessoa Física	3200	6
RENATA	Rodas aro 22"	RS	Dezembro	Pessoa Jurídica	3921	4
CAIO	Rodas aro 13"	MA	Novembro	Pessoa Física	780	4
PRISCILA	Rodas aro 14"	SP	Abril	Pessoa Física	980	3
MIRIAN	Rodas aro 15"	DF	Março	Pessoa Física	1020	2
MURILO	Rodas aro 16"	CE	Agosto	Pessoa Jurídica	1340	110
ROBERTO	Rodas aro 17"	ES	Setembro	Pessoa Jurídica	1870	107
MYSLAINE	Rodas aro 18"	DF	Maio	Pessoa Jurídica	1910	107
KATIA	Rodas aro 19"	BA	Setembro	Pessoa Física	2240	106
VANESSA	Rodas aro 20"	PR	Dezembro	Pessoa Jurídica	2479	105
RENATA	Rodas aro 21"	MA	Julho	Pessoa Física	3200	105
CAIO	Rodas aro 22"	GO	Maio	Pessoa Física	3921	105
PRISCILA	Rodas aro 13"	AM	Março	Pessoa Física	780	104
MIRIAN	Rodas aro 14"	PA	Agosto	Pessoa Jurídica	980	103
MURILO	Rodas aro 15"	MA	Março	Pessoa Jurídica	1020	102
ROBERTO	Rodas aro 16"	RO	Junho	Pessoa Jurídica	1340	101
MYSLAINE	Rodas aro 17"	TO	Dezembro	Pessoa Física	1870	100
KATIA	Rodas aro 18"	RJ	Outubro	Pessoa Jurídica	1910	100
VANESSA	Rodas aro 19"	PA	Julho	Pessoa Física	2240	100
RENATA	Rodas aro 20"	ES	Maio	Pessoa Física	2479	99
CAIO	Rodas aro 21"	MG	Agosto	Pessoa Física	3200	99
PRISCILA	Rodas aro 22"	AL	Outubro	Pessoa Jurídica	3921	98
MIRIAN	Rodas aro 13"	SC	Novembro	Pessoa Jurídica	780	93
MURILO	Rodas aro 14"	GO	Setembro	Pessoa Jurídica	980	91
ROBERTO	Rodas aro 15"	AP	Setembro	Pessoa Física	1020	91
MYSLAINE	Rodas aro 16"	SC	Novembro	Pessoa Jurídica	1340	90
KATIA	Rodas aro 17"	RN	Setembro	Pessoa Física	1870	88
VANESSA	Rodas aro 18"	CE	Agosto	Pessoa Física	1910	87
RENATA	Rodas aro 19"	ES	Janeiro	Pessoa Física	2240	87
CAIO	Rodas aro 20"	AL	Julho	Pessoa Jurídica	2479	87
PRISCILA	Rodas aro 21"	BA	Setembro	Pessoa Jurídica	3200	87
MIRIAN	Rodas aro 22"	MA	Dezembro	Pessoa Jurídica	3921	85
MURILO	Rodas aro 13"	TO	Maio	Pessoa Física	780	84
ROBERTO	Rodas aro 14"	SE	Fevereiro	Pessoa Jurídica	980	84
MYSLAINE	Rodas aro 15"	MA	Janeiro	Pessoa Física	1020	81
KATIA	Rodas aro 16"	MT	Dezembro	Pessoa Física	1340	76
VANESSA	Rodas aro 17"	PE	Fevereiro	Pessoa Física	1870	75
RENATA	Rodas aro 18"	PB	Novembro	Pessoa Jurídica	1910	71
CAIO	Rodas aro 19"	AM	Maio	Pessoa Jurídica	2240	68
PRISCILA	Rodas aro 20"	RN	Dezembro	Pessoa Jurídica	2479	68
MIRIAN	Rodas aro 21"	GO	Agosto	Pessoa Física	3200	68
MURILO	Rodas aro 22"	GO	Agosto	Pessoa Jurídica	3921	68
ROBERTO	Rodas aro 13"	AP	Abril	Pessoa Física	780	67
MYSLAINE	Rodas aro 14"	RN	Fevereiro	Pessoa Física	980	67
KATIA	Rodas aro 15"	MT	Agosto	Pessoa Física	1020	66
VANESSA	Rodas aro 16"	RR	Janeiro	Pessoa Jurídica	1340	64
RENATA	Rodas aro 17"	TO	Janeiro	Pessoa Jurídica	1870	63
CAIO	Rodas aro 18"	AC	Abril	Pessoa Jurídica	1910	63
PRISCILA	Rodas aro 19"	RS	Junho	Pessoa Física	2240	62
MIRIAN	Rodas aro 20"	GO	Janeiro	Pessoa Jurídica	2479	61
MURILO	Rodas aro 21"	PI	Agosto	Pessoa Física	3200	61
ROBERTO	Rodas aro 22"	AM	Abril	Pessoa Física	3921	59
MYSLAINE	Rodas aro 13"	AC	Outubro	Pessoa Física	780	59
KATIA	Rodas aro 14"	BA	Novembro	Pessoa Jurídica	980	57
VANESSA	Rodas aro 15"	SP	Outubro	Pessoa Jurídica	1020	56
RENATA	Rodas aro 16"	MG	Agosto	Pessoa Jurídica	1340	54
CAIO	Rodas aro 17"	SE	Maio	Pessoa Física	1870	53
PRISCILA	Rodas aro 18"	PR	Junho	Pessoa Jurídica	1910	52
MIRIAN	Rodas aro 19"	AP	Outubro	Pessoa Física	2240	49
MURILO	Rodas aro 20"	RR	Maio	Pessoa Física	2479	47
ROBERTO	Rodas aro 21"	AL	Maio	Pessoa Física	3200	46
MYSLAINE	Rodas aro 22"	AM	Março	Pessoa Jurídica	3921	45
KATIA	Rodas aro 13"	PB	Outubro	Pessoa Jurídica	780	45
VANESSA	Rodas aro 14"	RS	Agosto	Pessoa Jurídica	980	44
RENATA	Rodas aro 15"	TO	Março	Pessoa Física	1020	43
CAIO	Rodas aro 16"	PI	Julho	Pessoa Jurídica	1340	43
PRISCILA	Rodas aro 17"	MS	Agosto	Pessoa Física	1870	41
MIRIAN	Rodas aro 18"	SC	Junho	Pessoa Física	1910	41
MURILO	Rodas aro 19"	ES	Fevereiro	Pessoa Física	2240	40
ROBERTO	Rodas aro 20"	AP	Dezembro	Pessoa Jurídica	2479	38
MYSLAINE	Rodas aro 21"	AC	Outubro	Pessoa Jurídica	3200	38
KATIA	Rodas aro 22"	DF	Junho	Pessoa Jurídica	3921	35
VANESSA	Rodas aro 13"	RS	Julho	Pessoa Física	780	32
RENATA	Rodas aro 14"	RO	Julho	Pessoa Jurídica	980	32
CAIO	Rodas aro 15"	RS	Maio	Pessoa Física	1020	32
PRISCILA	Rodas aro 16"	AC	Setembro	Pessoa Física	1340	31
MIRIAN	Rodas aro 17"	DF	Outubro	Pessoa Física	1870	28
MURILO	Rodas aro 18"	SC	Maio	Pessoa Jurídica	1910	27
ROBERTO	Rodas aro 19"	CE	Julho	Pessoa Jurídica	2240	25
MYSLAINE	Rodas aro 20"	DF	Junho	Pessoa Jurídica	2479	19
KATIA	Rodas aro 21"	SE	Março	Pessoa Física	3200	18
VANESSA	Rodas aro 22"	SE	Março	Pessoa Jurídica	3921	18
RENATA	Rodas aro 13"	MG	Setembro	Pessoa Física	780	18
CAIO	Rodas aro 14"	PB	Fevereiro	Pessoa Física	980	17
PRISCILA	Rodas aro 15"	RR	Agosto	Pessoa Física	1020	17
MIRIAN	Rodas aro 16"	PI	Dezembro	Pessoa Jurídica	1340	17
MURILO	Rodas aro 17"	SP	Setembro	Pessoa Jurídica	1870	15
ROBERTO	Rodas aro 18"	SC	Novembro	Pessoa Jurídica	1910	13
MYSLAINE	Rodas aro 19"	RN	Dezembro	Pessoa Física	2240	12
KATIA	Rodas aro 20"	CE	Maio	Pessoa Jurídica	2479	11
VANESSA	Rodas aro 21"	PI	Agosto	Pessoa Física	3200	11
RENATA	Rodas aro 22"	DF	Novembro	Pessoa Física	3921	9
CAIO	Rodas aro 13"	BA	Maio	Pessoa Física	780	8
PRISCILA	Rodas aro 14"	PI	Julho	Pessoa Jurídica	980	7
MIRIAN	Rodas aro 15"	MS	Abril	Pessoa Jurídica	1020	6
MURILO	Rodas aro 16"	PA	Dezembro	Pessoa Jurídica	1340	5
ROBERTO	Rodas aro 17"	AM	Agosto	Pessoa Física	1870	5
MYSLAINE	Rodas aro 18"	PA	Dezembro	Pessoa Jurídica	1910	1
KATIA	Rodas aro 19"	SC	Junho	Pessoa Física	2240	109
VANESSA	Rodas aro 20"	RJ	Agosto	Pessoa Física	2479	108
RENATA	Rodas aro 21"	SP	Janeiro	Pessoa Física	3200	108
CAIO	Rodas aro 22"	BA	Agosto	Pessoa Jurídica	3921	106
PRISCILA	Rodas aro 13"	PA	Janeiro	Pessoa Jurídica	780	105
MIRIAN	Rodas aro 14"	SC	Setembro	Pessoa Jurídica	980	104
MURILO	Rodas aro 15"	MA	Dezembro	Pessoa Física	1020	104
ROBERTO	Rodas aro 16"	AP	Junho	Pessoa Jurídica	1340	102
MYSLAINE	Rodas aro 17"	AP	Fevereiro	Pessoa Física	1870	100
KATIA	Rodas aro 18"	DF	Janeiro	Pessoa Física	1910	100
VANESSA	Rodas aro 19"	PB	Novembro	Pessoa Física	2240	97
RENATA	Rodas aro 20"	MA	Outubro	Pessoa Jurídica	2479	97
CAIO	Rodas aro 21"	PB	Maio	Pessoa Jurídica	3200	96
PRISCILA	Rodas aro 22"	CE	Junho	Pessoa Jurídica	3921	96
MIRIAN	Rodas aro 13"	RN	Setembro	Pessoa Física	780	95
MURILO	Rodas aro 14"	AM	Outubro	Pessoa Jurídica	980	90
ROBERTO	Rodas aro 15"	PE	Dezembro	Pessoa Física	1020	88
MYSLAINE	Rodas aro 16"	AL	Junho	Pessoa Física	1340	87
KATIA	Rodas aro 17"	TO	Julho	Pessoa Física	1870	87
VANESSA	Rodas aro 18"	PR	Fevereiro	Pessoa Jurídica	1910	84
RENATA	Rodas aro 19"	AC	Dezembro	Pessoa Jurídica	2240	83
CAIO	Rodas aro 20"	MG	Março	Pessoa Jurídica	2479	77
PRISCILA	Rodas aro 21"	PA	Junho	Pessoa Física	3200	77
MIRIAN	Rodas aro 22"	AL	Setembro	Pessoa Jurídica	3921	76
MURILO	Rodas aro 13"	GO	Março	Pessoa Física	780	76
ROBERTO	Rodas aro 14"	AC	Julho	Pessoa Física	980	76
MYSLAINE	Rodas aro 15"	CE	Julho	Pessoa Física	1020	75
KATIA	Rodas aro 16"	CE	Março	Pessoa Jurídica	1340	74
VANESSA	Rodas aro 17"	GO	Agosto	Pessoa Jurídica	1870	73
RENATA	Rodas aro 18"	SE	Novembro	Pessoa Jurídica	1910	71
CAIO	Rodas aro 19"	MS	Outubro	Pessoa Física	2240	71
PRISCILA	Rodas aro 20"	MG	Junho	Pessoa Jurídica	2479	66
MIRIAN	Rodas aro 21"	ES	Janeiro	Pessoa Física	3200	64
MURILO	Rodas aro 22"	TO	Julho	Pessoa Física	3921	62
ROBERTO	Rodas aro 13"	MA	Novembro	Pessoa Física	780	62
MYSLAINE	Rodas aro 14"	DF	Junho	Pessoa Jurídica	980	60
KATIA	Rodas aro 15"	RO	Março	Pessoa Jurídica	1020	60
VANESSA	Rodas aro 16"	RO	Maio	Pessoa Jurídica	1340	60
RENATA	Rodas aro 17"	BA	Abril	Pessoa Física	1870	58
CAIO	Rodas aro 18"	SE	Novembro	Pessoa Jurídica	1910	57
PRISCILA	Rodas aro 19"	BA	Fevereiro	Pessoa Física	2240	53
MIRIAN	Rodas aro 20"	RN	Junho	Pessoa Física	2479	53
MURILO	Rodas aro 21"	MG	Julho	Pessoa Física	3200	51
ROBERTO	Rodas aro 22"	MA	Outubro	Pessoa Jurídica	3921	49
MYSLAINE	Rodas aro 13"	GO	Abril	Pessoa Jurídica	780	48
KATIA	Rodas aro 14"	MA	Agosto	Pessoa Jurídica	980	46
VANESSA	Rodas aro 15"	PE	Abril	Pessoa Física	1020	46
RENATA	Rodas aro 16"	AC	Novembro	Pessoa Jurídica	1340	45
CAIO	Rodas aro 17"	PE	Março	Pessoa Física	1870	43
PRISCILA	Rodas aro 18"	AM	Janeiro	Pessoa Física	1910	42
MIRIAN	Rodas aro 19"	PI	Março	Pessoa Física	2240	42
MURILO	Rodas aro 20"	AP	Dezembro	Pessoa Jurídica	2479	42
ROBERTO	Rodas aro 21"	ES	Março	Pessoa Jurídica	3200	42
MYSLAINE	Rodas aro 22"	RR	Outubro	Pessoa Jurídica	3921	42
KATIA	Rodas aro 13"	PR	Setembro	Pessoa Física	780	39
VANESSA	Rodas aro 14"	AM	Março	Pessoa Jurídica	980	37
RENATA	Rodas aro 15"	RN	Julho	Pessoa Física	1020	36
CAIO	Rodas aro 16"	SE	Agosto	Pessoa Física	1340	36
PRISCILA	Rodas aro 17"	PA	Junho	Pessoa Física	1870	36
MIRIAN	Rodas aro 18"	PA	Novembro	Pessoa Jurídica	1910	35
MURILO	Rodas aro 19"	AL	Junho	Pessoa Jurídica	2240	34
ROBERTO	Rodas aro 20"	TO	Março	Pessoa Jurídica	2479	33
MYSLAINE	Rodas aro 21"	SP	Junho	Pessoa Física	3200	33
KATIA	Rodas aro 22"	PR	Outubro	Pessoa Jurídica	3921	33
VANESSA	Rodas aro 13"	RJ	Janeiro	Pessoa Física	780	31
RENATA	Rodas aro 14"	AM	Junho	Pessoa Física	980	30
CAIO	Rodas aro 15"	RO	Novembro	Pessoa Física	1020	30
PRISCILA	Rodas aro 16"	MT	Agosto	Pessoa Jurídica	1340	29
MIRIAN	Rodas aro 17"	CE	Agosto	Pessoa Jurídica	1870	29
MURILO	Rodas aro 18"	PI	Novembro	Pessoa Jurídica	1910	26
ROBERTO	Rodas aro 19"	ES	Fevereiro	Pessoa Física	2240	23
MYSLAINE	Rodas aro 20"	RS	Dezembro	Pessoa Jurídica	2479	20
KATIA	Rodas aro 21"	ES	Outubro	Pessoa Física	3200	19
VANESSA	Rodas aro 22"	SE	Janeiro	Pessoa Física	3921	18
RENATA	Rodas aro 13"	PI	Novembro	Pessoa Física	780	17
CAIO	Rodas aro 14"	SE	Maio	Pessoa Jurídica	980	16
PRISCILA	Rodas aro 15"	MG	Fevereiro	Pessoa Jurídica	1020	13
MIRIAN	Rodas aro 16"	AL	Abril	Pessoa Jurídica	1340	11
MURILO	Rodas aro 17"	RS	Fevereiro	Pessoa Física	1870	11
ROBERTO	Rodas aro 18"	RS	Setembro	Pessoa Jurídica	1910	10
MYSLAINE	Rodas aro 19"	MS	Junho	Pessoa Física	2240	8
KATIA	Rodas aro 20"	TO	Junho	Pessoa Física	2479	8
VANESSA	Rodas aro 21"	AC	Março	Pessoa Física	3200	8
RENATA	Rodas aro 22"	DF	Julho	Pessoa Jurídica	3921	7
CAIO	Rodas aro 13"	AL	Maio	Pessoa Jurídica	780	7
PRISCILA	Rodas aro 14"	AP	Março	Pessoa Jurídica	980	6
MIRIAN	Rodas aro 15"	SE	Agosto	Pessoa Física	1020	6
MURILO	Rodas aro 16"	PA	Março	Pessoa Jurídica	1340	5
ROBERTO	Rodas aro 17"	RR	Fevereiro	Pessoa Física	1870	5
MYSLAINE	Rodas aro 18"	PA	Agosto	Pessoa Física	1910	4
KATIA	Rodas aro 19"	PR	Setembro	Pessoa Física	2240	4
VANESSA	Rodas aro 20"	AL	Fevereiro	Pessoa Jurídica	2479	2
RENATA	Rodas aro 21"	MS	Maio	Pessoa Jurídica	3200	1
CAIO	Rodas aro 22"	RO	Dezembro	Pessoa Jurídica	3921	107
PRISCILA	Rodas aro 13"	AC	Março	Pessoa Física	780	107
MIRIAN	Rodas aro 14"	DF	Setembro	Pessoa Jurídica	980	105
MURILO	Rodas aro 15"	PB	Maio	Pessoa Física	1020	105
ROBERTO	Rodas aro 16"	AM	Novembro	Pessoa Física	1340	105
MYSLAINE	Rodas aro 17"	MG	Junho	Pessoa Física	1870	99
KATIA	Rodas aro 18"	PE	Janeiro	Pessoa Jurídica	1910	99
VANESSA	Rodas aro 19"	GO	Junho	Pessoa Jurídica	2240	98
RENATA	Rodas aro 20"	SC	Setembro	Pessoa Jurídica	2479	96
CAIO	Rodas aro 21"	PE	Abril	Pessoa Física	3200	94
PRISCILA	Rodas aro 22"	ES	Fevereiro	Pessoa Jurídica	3921	93
MIRIAN	Rodas aro 13"	AM	Dezembro	Pessoa Física	780	91
MURILO	Rodas aro 14"	DF	Janeiro	Pessoa Física	980	87
ROBERTO	Rodas aro 15"	PA	Agosto	Pessoa Física	1020	86
MYSLAINE	Rodas aro 16"	MT	Maio	Pessoa Jurídica	1340	85
KATIA	Rodas aro 17"	BA	Setembro	Pessoa Jurídica	1870	85
VANESSA	Rodas aro 18"	DF	Outubro	Pessoa Jurídica	1910	79
RENATA	Rodas aro 19"	MT	Maio	Pessoa Física	2240	78
CAIO	Rodas aro 20"	PB	Fevereiro	Pessoa Jurídica	2479	76
PRISCILA	Rodas aro 21"	ES	Fevereiro	Pessoa Física	3200	73
MIRIAN	Rodas aro 22"	AP	Novembro	Pessoa Física	3921	73
MURILO	Rodas aro 13"	PE	Agosto	Pessoa Física	780	72
ROBERTO	Rodas aro 14"	AP	Maio	Pessoa Jurídica	980	71
MYSLAINE	Rodas aro 15"	SE	Novembro	Pessoa Jurídica	1020	69
KATIA	Rodas aro 16"	RO	Outubro	Pessoa Jurídica	1340	69
VANESSA	Rodas aro 17"	BA	Dezembro	Pessoa Física	1870	68
RENATA	Rodas aro 18"	AM	Maio	Pessoa Jurídica	1910	67
CAIO	Rodas aro 19"	RN	Novembro	Pessoa Física	2240	67
PRISCILA	Rodas aro 20"	TO	Novembro	Pessoa Física	2479	65
MIRIAN	Rodas aro 21"	PB	Abril	Pessoa Física	3200	64
MURILO	Rodas aro 22"	AP	Dezembro	Pessoa Jurídica	3921	64
ROBERTO	Rodas aro 13"	PB	Dezembro	Pessoa Jurídica	780	63
MYSLAINE	Rodas aro 14"	MS	Julho	Pessoa Jurídica	980	59
KATIA	Rodas aro 15"	AP	Janeiro	Pessoa Física	1020	57
VANESSA	Rodas aro 16"	GO	Agosto	Pessoa Jurídica	1340	56
RENATA	Rodas aro 17"	RN	Dezembro	Pessoa Física	1870	55
CAIO	Rodas aro 18"	PB	Novembro	Pessoa Física	1910	52
PRISCILA	Rodas aro 19"	AM	Janeiro	Pessoa Física	2240	52
MIRIAN	Rodas aro 20"	GO	Fevereiro	Pessoa Jurídica	2479	50
MURILO	Rodas aro 21"	PB	Fevereiro	Pessoa Jurídica	3200	49
ROBERTO	Rodas aro 22"	PR	Março	Pessoa Jurídica	3921	49
MYSLAINE	Rodas aro 13"	MS	Setembro	Pessoa Física	780	48
KATIA	Rodas aro 14"	CE	Março	Pessoa Jurídica	980	48
VANESSA	Rodas aro 15"	AC	Outubro	Pessoa Física	1020	47
RENATA	Rodas aro 16"	PI	Novembro	Pessoa Física	1340	47
CAIO	Rodas aro 17"	RS	Novembro	Pessoa Física	1870	47
PRISCILA	Rodas aro 18"	SE	Janeiro	Pessoa Jurídica	1910	46
MIRIAN	Rodas aro 19"	MG	Outubro	Pessoa Jurídica	2240	44
MURILO	Rodas aro 20"	SC	Junho	Pessoa Jurídica	2479	43
ROBERTO	Rodas aro 21"	RO	Agosto	Pessoa Física	3200	42
MYSLAINE	Rodas aro 22"	GO	Julho	Pessoa Jurídica	3921	42
KATIA	Rodas aro 13"	SP	Outubro	Pessoa Física	780	40
VANESSA	Rodas aro 14"	MS	Novembro	Pessoa Física	980	37
RENATA	Rodas aro 15"	MS	Junho	Pessoa Física	1020	36
CAIO	Rodas aro 16"	AP	Setembro	Pessoa Jurídica	1340	32
PRISCILA	Rodas aro 17"	TO	Dezembro	Pessoa Jurídica	1870	26
MIRIAN	Rodas aro 18"	SP	Dezembro	Pessoa Jurídica	1910	25
MURILO	Rodas aro 19"	RO	Janeiro	Pessoa Física	2240	24
ROBERTO	Rodas aro 20"	RN	Outubro	Pessoa Jurídica	2479	24
MYSLAINE	Rodas aro 21"	MA	Janeiro	Pessoa Física	3200	23
KATIA	Rodas aro 22"	PR	Janeiro	Pessoa Física	3921	22
VANESSA	Rodas aro 13"	MG	Dezembro	Pessoa Física	780	22
RENATA	Rodas aro 14"	AC	Setembro	Pessoa Jurídica	980	20
CAIO	Rodas aro 15"	RN	Fevereiro	Pessoa Jurídica	1020	19
PRISCILA	Rodas aro 16"	RR	Dezembro	Pessoa Jurídica	1340	13
MIRIAN	Rodas aro 17"	PA	Setembro	Pessoa Física	1870	13
MURILO	Rodas aro 18"	SE	Fevereiro	Pessoa Jurídica	1910	12
ROBERTO	Rodas aro 19"	SP	Janeiro	Pessoa Física	2240	12
MYSLAINE	Rodas aro 20"	SC	Dezembro	Pessoa Física	2479	10
KATIA	Rodas aro 21"	CE	Janeiro	Pessoa Física	3200	10
VANESSA	Rodas aro 22"	PA	Março	Pessoa Jurídica	3921	5
RENATA	Rodas aro 13"	PR	Dezembro	Pessoa Jurídica	780	4
CAIO	Rodas aro 14"	AP	Janeiro	Pessoa Jurídica	980	4
PRISCILA	Rodas aro 15"	PR	Março	Pessoa Física	1020	3
MIRIAN	Rodas aro 16"	DF	Janeiro	Pessoa Jurídica	1340	2
MURILO	Rodas aro 17"	RO	Junho	Pessoa Física	1870	110
ROBERTO	Rodas aro 18"	RS	Outubro	Pessoa Física	1910	109
MYSLAINE	Rodas aro 19"	SC	Setembro	Pessoa Física	2240	108
KATIA	Rodas aro 20"	AC	Outubro	Pessoa Jurídica	2479	107
VANESSA	Rodas aro 21"	RO	Outubro	Pessoa Jurídica	3200	105
RENATA	Rodas aro 22"	GO	Maio	Pessoa Jurídica	3921	105
CAIO	Rodas aro 13"	MA	Outubro	Pessoa Física	780	104
PRISCILA	Rodas aro 14"	DF	Setembro	Pessoa Jurídica	980	104
MIRIAN	Rodas aro 15"	PB	Setembro	Pessoa Física	1020	104
MURILO	Rodas aro 16"	GO	Julho	Pessoa Física	1340	103
ROBERTO	Rodas aro 17"	MS	Março	Pessoa Física	1870	100
MYSLAINE	Rodas aro 18"	PA	Fevereiro	Pessoa Jurídica	1910	99
KATIA	Rodas aro 19"	PI	Junho	Pessoa Jurídica	2240	98
VANESSA	Rodas aro 20"	SE	Outubro	Pessoa Jurídica	2479	98
RENATA	Rodas aro 21"	RN	Maio	Pessoa Física	3200	96
CAIO	Rodas aro 22"	PA	Julho	Pessoa Jurídica	3921	96
PRISCILA	Rodas aro 13"	DF	Agosto	Pessoa Física	780	96
MIRIAN	Rodas aro 14"	PR	Fevereiro	Pessoa Física	980	96
MURILO	Rodas aro 15"	SE	Novembro	Pessoa Física	1020	95
ROBERTO	Rodas aro 16"	BA	Agosto	Pessoa Jurídica	1340	94
MYSLAINE	Rodas aro 17"	PR	Setembro	Pessoa Jurídica	1870	92
KATIA	Rodas aro 18"	SC	Dezembro	Pessoa Jurídica	1910	91
VANESSA	Rodas aro 19"	MA	Dezembro	Pessoa Física	2240	89
RENATA	Rodas aro 20"	RR	Junho	Pessoa Jurídica	2479	88
CAIO	Rodas aro 21"	TO	Julho	Pessoa Física	3200	88
PRISCILA	Rodas aro 22"	DF	Maio	Pessoa Física	3921	88
MIRIAN	Rodas aro 13"	CE	Novembro	Pessoa Física	780	88
MURILO	Rodas aro 14"	MG	Janeiro	Pessoa Jurídica	980	82
ROBERTO	Rodas aro 15"	GO	Agosto	Pessoa Jurídica	1020	80
MYSLAINE	Rodas aro 16"	RR	Fevereiro	Pessoa Jurídica	1340	79
KATIA	Rodas aro 17"	AL	Janeiro	Pessoa Física	1870	79
VANESSA	Rodas aro 18"	BA	Setembro	Pessoa Jurídica	1910	78
RENATA	Rodas aro 19"	PR	Junho	Pessoa Física	2240	78
CAIO	Rodas aro 20"	RO	Julho	Pessoa Física	2479	77
PRISCILA	Rodas aro 21"	BA	Abril	Pessoa Física	3200	74
MIRIAN	Rodas aro 22"	SP	Junho	Pessoa Jurídica	3921	73
MURILO	Rodas aro 13"	TO	Dezembro	Pessoa Jurídica	780	72
ROBERTO	Rodas aro 14"	PR	Fevereiro	Pessoa Jurídica	980	70
MYSLAINE	Rodas aro 15"	CE	Setembro	Pessoa Física	1020	70
KATIA	Rodas aro 16"	RN	Maio	Pessoa Jurídica	1340	70
VANESSA	Rodas aro 17"	GO	Abril	Pessoa Física	1870	70
